vraie_espece,couv_std,n_obs,groupe,couv_pas,diff
9833,1.0,2,Rare,1.0,0.0
9846,1.0,8,Rare,1.0,0.0
9886,1.0,23,Commun,1.0,0.0
9899,1.0,1,Rare,1.0,0.0
9905,1.0,12,Commun,1.0,0.0
9926,1.0,1,Rare,1.0,0.0
9933,1.0,2,Rare,1.0,0.0
10097,1.0,1,Rare,1.0,0.0
10102,1.0,34,Commun,1.0,0.0
10179,1.0,1,Rare,1.0,0.0
10187,1.0,7,Rare,1.0,0.0
10197,1.0,8,Rare,1.0,0.0
10226,1.0,2,Rare,1.0,0.0
10426,1.0,1,Rare,1.0,0.0
10427,0.5714285714285714,14,Rare,0.5714285714285714,0.0
10430,1.0,3,Rare,1.0,0.0
10431,1.0,1,Rare,1.0,0.0
10443,1.0,2,Rare,1.0,0.0
10475,1.0,10,Rare,1.0,0.0
10528,1.0,2,Rare,1.0,0.0
10538,1.0,1,Rare,1.0,0.0
10568,1.0,6,Rare,1.0,0.0
10575,1.0,1,Rare,1.0,0.0
10582,1.0,1,Rare,1.0,0.0
10588,0.6,5,Commun,0.6,0.0
10592,1.0,2,Rare,1.0,0.0
10608,1.0,1,Rare,1.0,0.0
10618,1.0,10,Rare,1.0,0.0
10636,0.3333333333333333,6,Rare,0.3333333333333333,0.0
10639,1.0,1,Rare,1.0,0.0
10640,1.0,6,Rare,1.0,0.0
10645,0.75,4,Rare,0.75,0.0
10647,1.0,1,Rare,1.0,0.0
10673,1.0,4,Rare,1.0,0.0
10679,1.0,2,Rare,1.0,0.0
10699,0.5,2,Rare,0.5,0.0
10701,1.0,2,Rare,1.0,0.0
10712,1.0,9,Commun,1.0,0.0
10715,1.0,1,Rare,1.0,0.0
10769,1.0,11,Rare,1.0,0.0
10774,0.96875,32,Commun,0.96875,0.0
10775,1.0,9,Rare,1.0,0.0
10790,1.0,9,Commun,1.0,0.0
10814,1.0,3,Rare,1.0,0.0
10820,1.0,2,Rare,1.0,0.0
10824,1.0,1,Rare,1.0,0.0
10838,1.0,1,Rare,1.0,0.0
10840,1.0,2,Rare,1.0,0.0
10848,1.0,1,Rare,1.0,0.0
10857,1.0,2,Rare,1.0,0.0
10869,1.0,3,Rare,1.0,0.0
10876,1.0,1,Rare,1.0,0.0
10879,1.0,7,Rare,1.0,0.0
10894,1.0,2,Rare,1.0,0.0
10934,1.0,20,Commun,1.0,0.0
10954,1.0,1,Rare,1.0,0.0
11037,1.0,3,Rare,1.0,0.0
11039,1.0,1,Rare,1.0,0.0
11047,1.0,2,Rare,1.0,0.0
11048,1.0,2,Rare,1.0,0.0
11057,1.0,1,Rare,0.0,-1.0
11058,1.0,1,Rare,1.0,0.0
11060,1.0,3,Rare,1.0,0.0
11069,1.0,1,Rare,1.0,0.0
11128,1.0,4,Rare,1.0,0.0
11202,1.0,1,Rare,1.0,0.0
11219,1.0,1,Rare,1.0,0.0
11302,1.0,1,Rare,1.0,0.0
11313,1.0,44,Commun,1.0,0.0
11330,1.0,3,Commun,1.0,0.0
11351,1.0,1,Rare,1.0,0.0
11352,1.0,1,Rare,1.0,0.0
11354,0.5,2,Rare,0.5,0.0
11356,1.0,2,Rare,1.0,0.0
11485,1.0,2,Rare,1.0,0.0
11494,1.0,1,Rare,1.0,0.0
11550,1.0,1,Rare,1.0,0.0
11585,1.0,3,Rare,1.0,0.0
11644,1.0,4,Rare,1.0,0.0
11693,1.0,1,Rare,1.0,0.0
11699,1.0,1,Rare,1.0,0.0
11704,1.0,3,Rare,1.0,0.0
11705,0.9629629629629629,27,Commun,1.0,0.03703703703703709
11771,1.0,8,Rare,1.0,0.0
11776,1.0,2,Rare,1.0,0.0
11780,1.0,1,Rare,1.0,0.0
11787,1.0,9,Rare,1.0,0.0
11804,1.0,4,Commun,1.0,0.0
11809,1.0,1,Rare,1.0,0.0
11831,1.0,3,Rare,1.0,0.0
11840,1.0,5,Rare,1.0,0.0
11842,1.0,6,Rare,1.0,0.0
11856,1.0,3,Rare,1.0,0.0
11861,1.0,1,Rare,1.0,0.0
11863,1.0,9,Rare,1.0,0.0
11924,1.0,18,Commun,1.0,0.0
11929,1.0,1,Rare,1.0,0.0
11930,1.0,1,Rare,1.0,0.0
11935,1.0,1,Rare,1.0,0.0
11936,1.0,2,Rare,1.0,0.0
11937,1.0,3,Rare,1.0,0.0
11939,1.0,4,Rare,1.0,0.0
11943,1.0,1,Rare,1.0,0.0
11947,1.0,7,Commun,1.0,0.0
11950,1.0,3,Rare,1.0,0.0
12036,1.0,1,Rare,1.0,0.0
12086,1.0,4,Rare,1.0,0.0
12147,1.0,1,Rare,1.0,0.0
12168,1.0,4,Rare,1.0,0.0
12203,1.0,1,Rare,1.0,0.0
12229,0.9714285714285714,35,Commun,0.9714285714285714,0.0
12230,1.0,2,Rare,1.0,0.0
12255,1.0,3,Rare,1.0,0.0
12290,1.0,1,Rare,1.0,0.0
12356,1.0,7,Rare,1.0,0.0
12368,1.0,2,Rare,1.0,0.0
12376,1.0,3,Commun,1.0,0.0
12385,0.9375,16,Rare,0.9375,0.0
12487,1.0,4,Rare,1.0,0.0
12611,1.0,1,Rare,1.0,0.0
12613,1.0,1,Rare,1.0,0.0
12651,1.0,1,Rare,1.0,0.0
12751,1.0,2,Rare,1.0,0.0
12754,1.0,2,Rare,1.0,0.0
12776,1.0,1,Rare,1.0,0.0
12779,0.96,25,Commun,1.0,0.040000000000000036
12782,1.0,3,Rare,1.0,0.0
12796,1.0,6,Rare,1.0,0.0
12800,1.0,1,Rare,1.0,0.0
12836,1.0,1,Rare,0.0,-1.0
12925,1.0,1,Rare,1.0,0.0
12979,0.6666666666666666,3,Rare,0.6666666666666666,0.0
12981,1.0,1,Rare,1.0,0.0
13052,1.0,1,Rare,1.0,0.0
13057,1.0,1,Rare,1.0,0.0
13160,1.0,4,Rare,0.75,-0.25
13237,1.0,1,Rare,1.0,0.0
13271,1.0,15,Commun,1.0,0.0
13275,1.0,4,Rare,1.0,0.0
13280,0.8333333333333334,6,Rare,0.8333333333333334,0.0
13284,1.0,2,Rare,1.0,0.0
13310,1.0,1,Rare,1.0,0.0
13321,1.0,1,Rare,1.0,0.0
13524,1.0,2,Rare,1.0,0.0
13539,1.0,1,Rare,1.0,0.0
13542,1.0,5,Commun,1.0,0.0
13548,1.0,7,Rare,1.0,0.0
13557,0.6,5,Rare,0.6,0.0
13572,1.0,4,Rare,1.0,0.0
13577,1.0,1,Rare,1.0,0.0
13581,1.0,21,Commun,1.0,0.0
13589,1.0,42,Commun,1.0,0.0
13591,1.0,1,Rare,1.0,0.0
13610,0.3333333333333333,3,Rare,0.3333333333333333,0.0
13613,0.75,4,Rare,0.75,0.0
13620,1.0,2,Rare,1.0,0.0
13621,1.0,11,Commun,1.0,0.0
13651,0.9,10,Rare,0.9,0.0
13674,1.0,1,Rare,1.0,0.0
13711,1.0,9,Rare,1.0,0.0
13731,1.0,32,Commun,1.0,0.0
13733,1.0,2,Rare,1.0,0.0
13739,0.5,2,Rare,0.5,0.0
13761,1.0,2,Rare,1.0,0.0
13815,1.0,2,Rare,1.0,0.0
13864,1.0,1,Rare,1.0,0.0
13867,0.0,1,Rare,0.0,0.0
13870,1.0,10,Commun,1.0,0.0
13887,1.0,1,Rare,1.0,0.0
13888,1.0,1,Rare,1.0,0.0
13894,1.0,1,Rare,1.0,0.0
13902,1.0,1,Rare,1.0,0.0
13906,1.0,1,Rare,1.0,0.0
14068,1.0,1,Rare,1.0,0.0
14144,1.0,1,Rare,1.0,0.0
14149,1.0,1,Rare,1.0,0.0
14190,1.0,6,Rare,1.0,0.0
14207,1.0,14,Commun,1.0,0.0
14215,0.9230769230769231,13,Rare,0.9230769230769231,0.0
14224,1.0,35,Commun,1.0,0.0
14306,1.0,1,Rare,1.0,0.0
14313,1.0,2,Rare,1.0,0.0
14315,0.8,5,Rare,0.8,0.0
14320,1.0,1,Rare,1.0,0.0
14321,1.0,1,Rare,1.0,0.0
14329,1.0,1,Rare,1.0,0.0
14343,1.0,2,Rare,1.0,0.0
14347,1.0,5,Rare,1.0,0.0
14348,1.0,2,Rare,1.0,0.0
14355,1.0,2,Rare,1.0,0.0
14394,1.0,7,Rare,1.0,0.0
14413,1.0,1,Rare,1.0,0.0
14437,1.0,1,Rare,1.0,0.0
14463,1.0,5,Rare,1.0,0.0
14471,1.0,1,Rare,1.0,0.0
14481,1.0,6,Commun,1.0,0.0
14482,1.0,3,Rare,1.0,0.0
14654,1.0,1,Rare,1.0,0.0
14656,1.0,1,Rare,1.0,0.0
14658,1.0,1,Rare,1.0,0.0
14660,1.0,7,Rare,0.8571428571428571,-0.1428571428571429
14675,1.0,2,Rare,1.0,0.0
14753,1.0,3,Rare,1.0,0.0
14756,0.8,5,Rare,0.8,0.0
14757,0.0,1,Rare,0.0,0.0
14816,1.0,1,Rare,1.0,0.0
14938,0.0,1,Rare,0.0,0.0
14955,1.0,10,Rare,1.0,0.0
15003,1.0,2,Rare,1.0,0.0
15004,1.0,1,Rare,1.0,0.0
15155,1.0,6,Rare,1.0,0.0
15171,1.0,1,Rare,1.0,0.0
15177,1.0,5,Rare,1.0,0.0
15181,1.0,1,Rare,1.0,0.0
15184,1.0,6,Rare,1.0,0.0
15231,1.0,4,Commun,1.0,0.0
15268,0.9285714285714286,28,Commun,0.9285714285714286,0.0
15306,1.0,1,Rare,1.0,0.0
15353,1.0,1,Rare,1.0,0.0
15361,1.0,1,Rare,1.0,0.0
15371,1.0,7,Rare,1.0,0.0
15378,1.0,2,Rare,1.0,0.0
15443,1.0,1,Rare,1.0,0.0
15463,1.0,5,Rare,1.0,0.0
15466,1.0,1,Rare,1.0,0.0
15471,1.0,1,Rare,1.0,0.0
15494,1.0,1,Rare,1.0,0.0
15515,0.5,2,Rare,0.5,0.0
15590,1.0,6,Rare,1.0,0.0
15669,0.6666666666666666,3,Rare,0.6666666666666666,0.0
15676,1.0,3,Rare,1.0,0.0
15679,1.0,5,Rare,1.0,0.0
15696,1.0,1,Rare,1.0,0.0
